ID	Label	Exact Match	Synonyms	Suggested parent term	Abbreviation	Definition	Textual Definition	Definition Source	See Also	Editor	Reviewer1	Reviewer2	Type	Parent	Close Match	Exact Match.1	Narrow Match	Related Match
ID	A rdfs:label	A skos:exactMatch  SPLIT=|			A oboInOwl:hasSynonymType		A IAO:0000115	>A IAO:0000119	>AI rdfs:seeAlso	A IAO:0000117	A IAO:0000117	A IAO:0000117	TYPE	SC %	A skos:closeMatch	A skos:exactMatch	A skos:narrowMatch SPLIT=|	A skos:relatedMatch SPLIT=|
pbpko:PBPKO_00002	parameter					A data item involved in PBPK modelling.	A data item involved in PBPK modelling.			0000-0001-8345-1349	0000-0002-9795-5967		Class	http://purl.obolibrary.org/obo/IAO_0000027				
pbpko:PBPKO_00003	physiologically based pharmacokinetic model		PBPK		PBPK	A data representation model that predicts the absorption, distribution, metabolism, and excretion (ADME) of chemical substances in biological species based on physiological principles using mathematical modelling technique.	A data representation model that predicts the absorption, distribution, metabolism, and excretion (ADME) of chemical substances in biological species based on physiological principles using mathematical modelling technique.			0000-0001-8345-1349	0000-0002-9795-5967		Class	http://purl.obolibrary.org/obo/OBI_0000658				
pbpko:PBPKO_00004	whole body pbpk		All organs PBPK		All organs PBPK	A physiologically based pharmacokinetic model that contains an explicit representation of the organs most relevant to the ADME of the compound.	A physiologically based pharmacokinetic model that contains an explicit representation of the organs most relevant to the ADME of the compound.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'physiologically based pharmacokinetic model'				
pbpko:PBPKO_00005	perfusion limited model					A physiologically based pharmacokinetic model that assumes tissue concentration reaches equilibrium rapidly and uptake/elimination is limited by blood flow rate.	A physiologically based pharmacokinetic model that assumes tissue concentration reaches equilibrium rapidly and uptake/elimination is limited by blood flow rate.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'physiologically based pharmacokinetic model'				
pbpko:PBPKO_00006	physiological parameter					A parameter that provides the structural framework for a PBPK model and relates to the organism's physiology (e.g., body weight, organ volume, blood flow).	A parameter that provides the structural framework for a PBPK model and relates to the organism's physiology (e.g., body weight, organ volume, blood flow).			0000-0001-8345-1349	0000-0002-9795-5967		Class	parameter	http://snomed.info/id/398060001			
pbpko:PBPKO_00007	body mass index		BMI		BMI	A physiological parameter calculated as an individual's weight (kg) divided by the square of their height (m).	A physiological parameter calculated as an individual's weight (kg) divided by the square of their height (m).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'physiological parameter'	http://www.ebi.ac.uk/efo/EFO_0004340			
pbpko:PBPKO_00008	bodyweight		bw		bw	A physiological parameter representing the mass or quantity of heaviness of an individual.	A physiological parameter representing the mass or quantity of heaviness of an individual.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'physiological parameter'	http://purl.obolibrary.org/obo/CMO_0000012			
pbpko:PBPKO_00009	height		ht		ht	A physiological parameter describing the distance from the bottom to the top of someone standing upright.	A physiological parameter describing the distance from the bottom to the top of someone standing upright.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'physiological parameter'	http://purl.obolibrary.org/obo/PATO_0000119			
pbpko:PBPKO_00010	surface area		BSA/SA		BSA/SA	A physiological parameter representing the total area that the surface of an object occupies.	A physiological parameter representing the total area that the surface of an object occupies.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'physiological parameter'	http://semanticscience.org/resource/SIO_001407			
pbpko:PBPKO_00011	assigned race					A parameter representing a geographic ancestral origin category assigned to a population group.	A parameter representing a geographic ancestral origin category assigned to a population group.			0000-0001-8345-1349	0000-0002-9795-5967		Class	parameter	http://purl.obolibrary.org/obo/GSSO_002199			
pbpko:PBPKO_00012	blood flow rate to compartment		Q		Q	A bodily fluid flow rate parameter representing the rate of blood flow in different parts of the body	A bodily fluid flow rate parameter representing the rate of blood flow in different parts of the body			0000-0001-8345-1349	0000-0002-9795-5967		Class	'bodily fluid flow rate parameter'				
pbpko:PBPKO_00013	cardiac output rate		CO		CO	A blood flow rate parameter representing the volume of blood pumped by the heart compartment per unit of time.	A blood flow rate parameter representing the volume of blood pumped by the heart compartment per unit of time.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00014	blood flow rate to stomach		qstomach		qstomach	A blood flow rate parameter specifically describing the rate to the stomach compartment.	A blood flow rate parameter specifically describing the rate to the stomach compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00015	fraction of blood flow to stomach		fqstomach		fqstomach	The dimensionless fraction of cardiac output delivered to the stomach compartment.	The dimensionless fraction of cardiac output delivered to the stomach compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00016	blood flow rate to intestine		qintestine		qintestine	A blood flow parameter specifically describing the rate to the intestine compartment.	A blood flow parameter specifically describing the rate to the intestine compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00017	fraction of blood flow to intestine		fqintestine		fqintestine	The dimensionless fraction of cardiac output delivered to the intestine compartment.	The dimensionless fraction of cardiac output delivered to the intestine compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00018	blood flow rate to small intestine		qsmall intestine		qsmall intestine	A blood flow rate parameter specifically describing the rate to the small intestine compartment.	A blood flow rate parameter specifically describing the rate to the small intestine compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00019	fraction of blood flow to small intestine		fqsmallintestine		fqsmallintestine	The dimensionless fraction of cardiac output delivered to the small intestine compartment.	The dimensionless fraction of cardiac output delivered to the small intestine compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00020	blood flow rate to large intestine		qlargeintestine		qlargeintestine	A blood flow rate parameter specifically describing the rate to the large intestine compartment.	A blood flow rate parameter specifically describing the rate to the large intestine compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00021	fraction of blood flow to large intestine		fqlargeinestine		fqlargeinestine	The dimensionless fraction of cardiac output delivered to the large intestine compartment.	The dimensionless fraction of cardiac output delivered to the large intestine compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
pbpko:PBPKO_00022	blood flow rate to pancreas		qpancreas		qpancreas	A blood flow rate parameter specifically describing the rate to the pancreas compartment.	A blood flow rate parameter specifically describing the rate to the pancreas compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'blood flow rate to compartment'				
pbpko:PBPKO_00023	fraction of blood flow to pancreas		fqpancreas		fqpancreas	The dimensionless fraction of cardiac output delivered to the pancreas compartment.	The dimensionless fraction of cardiac output delivered to the pancreas compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'fraction of blood flow to a compartment'				
